address,comuna,surface_m2,distance_to_metro,price_uf
"Calle Pedro de Valdivia 3767, San Miguel",San Miguel,49,1091,11.55
"Calle Las Mandarinas 749, Lo Barnechea",Lo Barnechea,20,503,8.76
"Gloria Espinoza 9, Estación Central",Estación Central,55,206,14.37
"Los Piñones 31, La Florida",La Florida,35,177,10.99
"Avda. Pablo Díaz 578, Maipú",Maipú,96,443,18.03
"Facundo González 58, Maipú",Maipú,32,1126,5.56
"Arturo Prat 570, San Miguel",San Miguel,22,743,12.01
"Máximo Salinas 4489, Maipú",Maipú,37,933,15.38
"Calle Carlos Azócar 60, Las Condes",Las Condes,20,265,11.73
"Los Cactus 1543, Lo Barnechea",Lo Barnechea,60,525,24.21
"Av. Ninoska Pérez 318, Vitacura",Vitacura,20,36,15.74
"Avenida Jeremías Hernández 496, Ñuñoa",Ñuñoa,45,1360,13.76
"Emilio Alfaro 66, Ñuñoa",Ñuñoa,20,3675,5.44
"Los Girasoles 233, Providencia",Providencia,39,417,13.48
"Arturo Prat 193, La Florida",La Florida,86,8,17.17
"Avda. Aníbal Pinto Garmendia 9051, Ñuñoa",Ñuñoa,51,148,19.88
"Calle Antonella Ortega 89, Providencia",Providencia,31,845,11.61
"Avda. Michelle Flores 7656, San Miguel",San Miguel,44,757,5.0
"Las Mosquetas 11, Las Condes",Las Condes,45,1240,18.84
"José Victorino Lastarria 3387, La Florida",La Florida,54,234,13.29
"Barros Arana 917, Las Condes",Las Condes,25,1153,15.18
"Calle Paula Jaraquemada 4, Estación Central",Estación Central,56,931,11.67
"Calle Mario Novoa 72, La Florida",La Florida,20,311,5.0
"Camino Manuel Rodríguez 57, Lo Barnechea",Lo Barnechea,34,630,9.94
"Pedro Aguirre Cerda 9430, Vitacura",Vitacura,36,127,18.01
"Avda. Arturo Prat 388, La Florida",La Florida,57,482,11.24
"Psje. Arturo Prat 7913, Macul",Macul,45,1704,12.87
"Psje. Pedro de Valdivia 209, Macul",Macul,25,437,8.93
"Salvador Allende 63, La Florida",La Florida,30,1463,10.06
"Calle Rosa Ríos 810, Las Condes",Las Condes,48,713,16.06
"Melania Corvalán 3384, Ñuñoa",Ñuñoa,43,170,19.21
"Los Alerces 55, Las Condes",Las Condes,35,696,17.31
"Calle Joaquín Tapia 9, Maipú",Maipú,36,564,5.0
"Avenida Las Rosas 31, Santiago",Santiago,59,406,18.44
"Calle Los Helechos 52, Ñuñoa",Ñuñoa,36,101,15.87
"Avenida Las Manzanillas 5487, Las Condes",Las Condes,43,431,19.6
"Calle Gabriela Mistral 5052, Ñuñoa",Ñuñoa,106,60,30.63
"Avda. David Gallardo 1128, Ñuñoa",Ñuñoa,25,83,16.33
"Las Rosas 6204, Macul",Macul,21,430,5.33
"Av. Esmeralda 7158, Santiago",Santiago,61,291,18.05
"Ema Belmar 1226, Maipú",Maipú,34,2078,8.98
"Avda. Benjamín Letelier 53, San Miguel",San Miguel,39,376,9.12
"Avda. Luis Segovia 43, Las Condes",Las Condes,32,1134,18.89
"Los Coihues 4330, Macul",Macul,40,604,11.6
"Lastarria 64, La Florida",La Florida,84,974,17.47
"Daniel Allende 501, San Miguel",San Miguel,61,241,12.1
"Calle Artemio Muñoz 755, La Florida",La Florida,63,2276,17.03
"Deyanira Contreras 53, San Miguel",San Miguel,25,604,5.41
"Avda. Arturo Prat 48, San Miguel",San Miguel,28,1423,10.38
"Gabriela Mistral 65, San Miguel",San Miguel,20,363,5.89
"Avda. Balmaceda 556, Vitacura",Vitacura,32,84,17.33
"Luis Romero 52, Las Condes",Las Condes,65,895,26.12
"Pedro Aguirre Cerda 6369, Vitacura",Vitacura,54,6,29.28
"Los Lirios 838, Santiago",Santiago,40,515,8.18
"Avenida Sebastián Barrera 513, Ñuñoa",Ñuñoa,44,171,19.76
"Av. Carolina Muñoz 2, San Miguel",San Miguel,33,789,12.05
"Los Digitales 49, Maipú",Maipú,48,3106,6.21
"Michimalonco 4016, Providencia",Providencia,60,499,25.8
"Av. Leonardo Cáceres 317, San Miguel",San Miguel,23,1360,5.0
"Las Maravillas 689, La Florida",La Florida,50,567,9.95
"Las Hortensias 78, Providencia",Providencia,64,547,23.98
"Ricardo Martínez 57, Las Condes",Las Condes,37,2132,12.61
"Av. Margarita Carreño 834, Providencia",Providencia,59,1765,20.5
"Avda. Mac Iver 3812, Lo Barnechea",Lo Barnechea,137,1232,45.06
"Calle Carolina Castillo 858, Maipú",Maipú,42,281,10.25
"Aníbal Pinto Garmendia 16, La Florida",La Florida,52,629,13.74
"Mónica González 966, Santiago",Santiago,33,202,10.84
"Humberto Barahona 846, Maipú",Maipú,48,469,11.39
"Calle Caupolicán 82, La Florida",La Florida,53,529,14.93
"Camino Martín Alegría 701, Lo Barnechea",Lo Barnechea,48,1425,20.46
"Av. Jorge Castro 7755, Maipú",Maipú,29,1810,8.32
"Avda. Las Malvas 117, San Miguel",San Miguel,48,428,10.02
"José Avilés 4100, La Florida",La Florida,80,14,20.35
"Av. Valeria Gutiérrez 419, Maipú",Maipú,53,1583,7.66
"Las Manzanillas 2529, Ñuñoa",Ñuñoa,65,153,18.99
"Psje. Luis González 2663, Las Condes",Las Condes,40,778,16.67
"Raquel Méndez 1491, Providencia",Providencia,60,20,22.31
"Los Aromos 618, San Miguel",San Miguel,49,408,15.11
"Av. Lautaro 7572, La Florida",La Florida,30,3412,8.5
"Avda. Nicanor Sánchez 88, Maipú",Maipú,50,84,8.38
"Los Digitales 59, Vitacura",Vitacura,30,440,14.22
"Los Alerces 51, San Miguel",San Miguel,34,293,7.41
"Los Palmitos 79, San Miguel",San Miguel,48,1883,9.76
"Arturo Prat 82, Providencia",Providencia,50,1628,18.55
"Calle Valentina Vásquez 148, Las Condes",Las Condes,27,217,14.18
"Thiago Pérez 97, Ñuñoa",Ñuñoa,68,67,22.14
"Avenida Fabiola Leiva 51, Maipú",Maipú,56,789,14.42
"Calle Francisca Barrera 688, Ñuñoa",Ñuñoa,33,328,7.78
"Pedro Aguirre Cerda 574, San Miguel",San Miguel,24,891,10.83
"Calle Las Mandarinas 4182, Macul",Macul,42,26,12.98
"Avda. Margarita Quezada 59, Ñuñoa",Ñuñoa,37,114,15.57
"Av. José de San Martín 940, Estación Central",Estación Central,46,927,8.02
"Calle Salomón Paredes 227, Estación Central",Estación Central,38,190,14.33
"Calle Los Aromos 520, Providencia",Providencia,20,1559,5.98
"Los Helechos 86, San Miguel",San Miguel,38,48,13.46
"Calle Santa Rosa 4941, Ñuñoa",Ñuñoa,39,194,17.0
"Calle Manuel Bulnes 86, Providencia",Providencia,57,5234,14.46
"Los Robles 56, Vitacura",Vitacura,33,454,14.9
"Valeria Cornejo 43, Santiago",Santiago,87,971,18.53
"Avenida Los Abedules 1812, San Miguel",San Miguel,20,161,7.22
"Manuel Montt 8344, Las Condes",Las Condes,75,753,25.36
"Avenida Eusebio Lillo 383, Providencia",Providencia,40,1036,14.28
"Av. Los Piñones 5499, Maipú",Maipú,63,302,15.18
"Los Helechos 546, Providencia",Providencia,46,1412,15.59
"Martín Guzmán 565, Las Condes",Las Condes,70,739,28.62
"Calle Los Copihues 19, San Miguel",San Miguel,38,394,8.82
"Calle Las Araucarias 97, Estación Central",Estación Central,28,652,5.0
"Los Naranjos 2967, Providencia",Providencia,78,687,31.18
"Los Coihues 351, Santiago",Santiago,42,144,11.77
"Gabriela Mistral 168, La Florida",La Florida,48,412,8.41
"Los Piñones 9516, Providencia",Providencia,73,336,21.67
"Avenida Las Rosas 638, Macul",Macul,29,409,12.42
"Anaís Méndez 53, Ñuñoa",Ñuñoa,56,1145,16.41
"Luis Fernández 27, Santiago",Santiago,35,527,9.79
"Psje. Las Rosas 1248, Santiago",Santiago,42,2254,9.45
"Eduardo Araya 81, San Miguel",San Miguel,46,278,15.71
"Avenida Caupolicán 94, Las Condes",Las Condes,24,429,12.48
"Calle Los Tilos 4, La Florida",La Florida,32,1237,13.59
"Las Azucenas 3398, Ñuñoa",Ñuñoa,76,631,23.23
"Calle Bulnes 58, Lo Barnechea",Lo Barnechea,63,633,26.57
"Calle Manuel Rodríguez 872, Vitacura",Vitacura,43,43,24.8
"Alejandro Carrasco 86, San Miguel",San Miguel,49,406,13.05
"Los Alerces 4, Santiago",Santiago,39,252,10.74
"Mónica Quintana 757, Vitacura",Vitacura,76,5852,29.12
"Salvador Allende Gossens 902, San Miguel",San Miguel,41,294,13.52
"Martina Rodríguez 91, Providencia",Providencia,49,1726,15.64
"Los Cactus 36, Santiago",Santiago,70,902,16.36
"Calle Eusebio Lillo 661, Lo Barnechea",Lo Barnechea,32,333,18.97
"Héctor Cortés 97, Santiago",Santiago,83,627,23.98
"Avenida Manuel Rodríguez 243, Ñuñoa",Ñuñoa,24,1468,11.42
"Mackenna 81, Maipú",Maipú,85,1718,18.91
"Avenida Darío Muñoz 64, Las Condes",Las Condes,38,139,17.02
"Gabriela Mistral 3692, Ñuñoa",Ñuñoa,40,331,16.96
"Calle Nicolás Hidalgo 8923, Las Condes",Las Condes,20,326,15.48
"Calle Las Maravillas 3748, Maipú",Maipú,37,34,9.56
"Calle Juan Mackenna 864, Maipú",Maipú,29,729,6.29
"Calle Los Calafates 41, Providencia",Providencia,35,1543,17.61
"Pedro de Valdivia 740, Santiago",Santiago,42,384,9.72
"Calle Las Mosquetas 809, La Florida",La Florida,65,1077,9.5
"Avda. Los Palmitos 453, San Miguel",San Miguel,48,790,15.81
"Francisca Mardones 22, San Miguel",San Miguel,50,376,16.42
"Calle Los Aromos 521, Providencia",Providencia,28,121,15.75
"Lautaro 9285, Las Condes",Las Condes,31,988,13.7
"Waldo Avendaño 2745, Maipú",Maipú,91,1542,14.11
"Los Piñones 6368, Maipú",Maipú,33,926,8.43
"Avda. Alonso de Ercilla 575, Santiago",Santiago,86,14,26.47
"Mónica Villarroel 137, Ñuñoa",Ñuñoa,40,194,16.52
"Filomena Toro 23, Ñuñoa",Ñuñoa,44,57,23.36
"Las Manzanillas 1612, Macul",Macul,68,675,13.37
"Calle Los Aromos 8826, Maipú",Maipú,74,1130,13.15
"Caupolicán 78, Maipú",Maipú,42,93,11.01
"Monserrat Sepúlveda 717, La Florida",La Florida,38,1457,5.72
"Calle Los Coihues 2735, Santiago",Santiago,43,648,11.17
"Las Rosas 6, Las Condes",Las Condes,51,936,20.93
"Calle Esmeralda 1713, Lo Barnechea",Lo Barnechea,63,2843,23.48
"Avda. Manuel Rodríguez 9931, Maipú",Maipú,44,69,17.86
"Calle Marianela Reyes 19, Santiago",Santiago,57,1851,13.9
"Av. Los Higos 9, Vitacura",Vitacura,86,107,38.84
"Avda. Los Helechos 102, Las Condes",Las Condes,52,399,21.6
"Lautaro 5502, Santiago",Santiago,50,1525,15.88
"Calle Gabriela Mistral 6177, Vitacura",Vitacura,24,1893,18.43
"Cristóbal Peña 5908, Lo Barnechea",Lo Barnechea,20,564,12.95
"Las Margaritas 1, San Miguel",San Miguel,52,721,10.32
"Las Mosquetas 817, Santiago",Santiago,43,985,9.59
"Av. José Miguel Carrera 9499, Santiago",Santiago,36,1430,9.94
"Gabriela Mistral 947, Providencia",Providencia,49,103,21.84
"Laura Pardo 8836, Macul",Macul,43,1328,12.2
"Calle Judith Ortiz 75, Providencia",Providencia,70,525,25.68
"Caupolicán 227, Ñuñoa",Ñuñoa,46,479,16.12
